name,host_name,neighbourhood_group,room_type,price_per_minimum_night,review_rate_per_month
Clean & quiet apt home by the park,John,Brooklyn,Private room,149.0,1.89
Skylit Midtown Castle,Jennifer,Manhattan,Entire home/apt,225.0,17.1
Cozy Entire Floor of Brownstone,LisaRoxanne,Brooklyn,Entire home/apt,89.0,1252.8
Entire Apt: Spacious Studio/Loft by central park,Laura,Manhattan,Entire home/apt,8.0,0.9
Large Cozy 1 BR Apartment In Midtown East,Chris,Manhattan,Entire home/apt,66.66666666666667,43.66
BlissArtsSpace!,Garon,Brooklyn,Private room,1.3333333333333333,19.6
Large Furnished Room Near B'way ,Shunichi,Manhattan,Private room,39.5,1492.1000000000001
Cozy Clean Guest Room - Family Apt,MaryEllen,Manhattan,Private room,39.5,116.82
Cute & Cozy Lower East Side 1 bdrm,Ben,Manhattan,Entire home/apt,150.0,212.8
Beautiful 1br on Upper West Side,Lena,Manhattan,Entire home/apt,27.0,22.79
Central Manhattan/near Broadway,Kate,Manhattan,Private room,42.5,282.0
"Lovely Room 1, Garden, Best Area, Legal rental",Laurie,Brooklyn,Private room,22.25,223.78
Wonderful Guest Bedroom in Manhattan for SINGLES,Claudio,Manhattan,Private room,42.5,102.83
West Village Nest - Superhost,Alina,Manhattan,Entire home/apt,1.3333333333333333,5.94
Only 2 stops to Manhattan studio,Allen & Irina,Brooklyn,Entire home/apt,70.0,177.6
Perfect for Your Parents + Garden,Jane,Brooklyn,Entire home/apt,107.5,340.56
Chelsea Perfect,Doti,Manhattan,Private room,140.0,551.2
Hip Historic Brownstone Apartment with Backyard,Adam And Charity,Brooklyn,Entire home/apt,33.0,235.32000000000002
Sweet and Spacious Brooklyn Loft,Chaya,Brooklyn,Entire home/apt,99.66666666666667,0.6300000000000001
CBG CtyBGd HelpsHaiti rm#1:1-4,Lisel,Brooklyn,Private room,65.0,141.70000000000002
CBG Helps Haiti Room#2.5,Lisel,Brooklyn,Private room,80.0,14.43
CBG Helps Haiti Rm #2,Lisel,Brooklyn,Private room,55.0,43.31
"MAISON DES SIRENES1,bohemian apartment",Nathalie,Brooklyn,Entire home/apt,60.0,64.24
Sunny Bedroom Across Prospect Park,Gregory,Brooklyn,Private room,60.0,26.03
Midtown Pied-a-terre,Tommi,Manhattan,Entire home/apt,15.0,28.419999999999998
"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Shon,Manhattan,Private room,14.666666666666666,119.88000000000001
Modern 1 BR / NYC / EAST VILLAGE,Dana,Manhattan,Entire home/apt,12.857142857142858,6.96
front room/double bed,Ssameer Or Trip,Manhattan,Private room,16.666666666666668,493.68
Spacious 1 bedroom in luxe building,Teri,Manhattan,Private room,26.0,124.96
Loft in Williamsburg Area w/ Roof,Andrea,Brooklyn,Private room,13.75,325.04999999999995
back room/bunk beds,Ssameer Or Trip,Manhattan,Private room,16.666666666666668,647.01
Large B&B Style rooms,Angela,Brooklyn,Private room,70.0,48.84
"Lovely room 2 & garden; Best area, Legal rental",Laurie,Brooklyn,Private room,22.25,236.88
Cute apt in artist's home,Tyrome,Brooklyn,Entire home/apt,42.5,452.76
LowerEastSide apt share shortterm 1,Ben,Manhattan,Shared room,40.0,387.34000000000003
ENJOY Downtown NYC!,Edward,Manhattan,Private room,34.0,509.6
Beautiful Sunny Park Slope Brooklyn,Abdul,Brooklyn,Entire home/apt,40.0,5.8500000000000005
1bdr w private bath. in lofty apt,Yolande,Brooklyn,Private room,17.142857142857142,5.75
West Side Retreat,Cyn,Manhattan,Private room,33.75,55.88999999999999
BEST BET IN HARLEM,Earl,Manhattan,Entire home/apt,21.428571428571427,81.48
Entire apartment in central Brooklyn neighborhood.,Rana,Brooklyn,Entire home/apt,5.172413793103448,5.39
"1 Stop fr. Manhattan! Private Suite,Landmark Block",Orestes,Queens,Private room,43.333333333333336,558.0
Charming Brownstone 3 - Near PRATT,Adreinne,Brooklyn,Entire home/apt,15.714285714285714,31.720000000000002
bright and stylish duplex,Jennifer,Brooklyn,Entire home/apt,38.333333333333336,1.1
Fort Greene brownstone ,Alexander,Brooklyn,Private room,26.666666666666668,156.6
Blue Room for 2 in Brownstone for $1350 monthly,JT And Tiziana,Brooklyn,Private room,80.0,113.12
Cozy 1BD on Central Park West in New York City,Joya,Manhattan,Entire home/apt,75.5,45.99
* ORIGINAL BROOKLYN LOFT *,James,Brooklyn,Entire home/apt,76.0,57.4
Greenpoint Place...Has It All! ,Jeanne,Brooklyn,Entire home/apt,72.0,924.9599999999999
Beautiful Apartment in Manhattan!!!,Francesca,Manhattan,Entire home/apt,28.571428571428573,4.18
Williamsburg 1 bedroom Apartment,Joanna,Brooklyn,Entire home/apt,5.0,94.5
"Great Location, Manhattan Bedroom!",Bianca,Manhattan,Private room,22.0,3.2300000000000004
Best Location in NYC! TIMES SQUARE!,Luiz,Manhattan,Private room,34.5,719.61
Room in Greenpoint Loft w/ Roof,Andrea,Brooklyn,Private room,12.25,164.22
**Bright Nolita Apt w Doorman/Elevators/Gym**,Ted,Manhattan,Entire home/apt,6.0,6.3
"Very, very cozy place",Cristina,Brooklyn,Private room,40.0,15.96
2 bedroom - Upper East Side-great for kids,D,Manhattan,Entire home/apt,125.0,37.62
Comfortable 4-bedroom apt in family house.,Dimitri,Brooklyn,Entire home/apt,6.666666666666667,190.19
Double Room w Private Deck Clinton Hill Best Area,Patricia,Brooklyn,Private room,7.857142857142857,6.21
Your Heaven in Hells Kitchen,Mark,Manhattan,Private room,1.7333333333333334,315.15
Light-filled 2B duplex in the heart of Park Slope!,Sara,Brooklyn,Entire home/apt,75.0,0.64
"Sunny, Modern room in East Village!",Reka,Manhattan,Private room,80.0,1595.36
*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,Daniel,Brooklyn,Entire home/apt,275.0,207.2
Large Room in Amazing East Village Apt,Casey,Manhattan,Private room,99.0,133.56
SpaHa Loft: Enormous and Bright,Robin,Manhattan,Entire home/apt,56.25,311.59999999999997
Lovely EV Artist's Home,Anna,Manhattan,Entire home/apt,25.555555555555557,21.07
Cool Room in Hell's Kitchen,Enzo,Manhattan,Private room,7.285714285714286,9.89
"HARLEM, NEW YORK WELCOMES YOU!!",Tye And Etienne,Manhattan,Private room,32.5,78.4
BLUE TRIM GUEST HOUSE,George,Brooklyn,Private room,52.5,96.60000000000001
Charming East Village One Bedroom Flat,Josh,Manhattan,Entire home/apt,38.0,4.2
Manhattan Room,Victoria,Manhattan,Private room,200.0,213.0
Little King of Queens,Justin,Queens,Private room,2.3333333333333335,5.5
Fort Greene Retreat on the Park,Blaise,Brooklyn,Private room,31.666666666666668,183.04
Beautiful Meatpacking District Loft,DAVID And RICK,Manhattan,Private room,50.0,275.55
Cozy 2 BR in Williamsburg ,Lulú,Brooklyn,Private room,48.333333333333336,32.940000000000005
Spacious luminous apt Upper West NYC,Sybilla,Manhattan,Entire home/apt,3.5483870967741935,26.46
Entire 2 Bedroom - Large & Sunny,JoLynn,Manhattan,Entire home/apt,57.0,43.4
"Sunny, Spacious Top Floor Haven",Gaia,Brooklyn,Entire home/apt,21.666666666666668,2.4
Private room Great Deal at Lower East Side,Ana,Manhattan,Private room,3.1333333333333333,78.96
perfect for a family or small group,Maggie,Brooklyn,Entire home/apt,800.0,6.0
2 bedroom Williamsburg Apt - Bedford L stop,Starlee,Brooklyn,Entire home/apt,35.0,32.33
Oh glorious spring!,Edward,Manhattan,Private room,20.0,335.62
Great Location for NYC,Pas,Manhattan,Private room,50.0,0.1
Cozy Bedroom in Williamsburg 3 BR,Lulú,Brooklyn,Private room,28.333333333333332,267.96
Sunny room+Pvte office in huge loft,Augustin,Brooklyn,Private room,16.25,6.720000000000001
Spacious Prospect Heights Apartment,Sean & Lynette,Brooklyn,Entire home/apt,32.75,564.4
"Large Parlor Room, Landmark Home 1 block to PRATT",Erica,Brooklyn,Private room,14.0,3.2
2-bed brownstone duplex + garden,Tracy,Brooklyn,Entire home/apt,35.714285714285715,6.3
Charming 1 bed GR8 WBurg LOCATION!,Christiana,Brooklyn,Entire home/apt,20.0,263.76
Sunny Apartment in Artist Home,Tyrome,Brooklyn,Entire home/apt,35.0,123.9
Light-filled classic Central Park ,Dana,Manhattan,Entire home/apt,46.666666666666664,57.51
"Upper Manhattan, New York",Elliott,Manhattan,Private room,89.0,0.11
COZY QUIET room 4 DOOGLERS!,Olan,Manhattan,Private room,3.2666666666666666,8.100000000000001
The Stuydio Modern and Light Filled,Shelly,Brooklyn,Entire home/apt,17.857142857142858,170.97
loft bed - near transportation-15min to times sq,Ssameer Or Trip,Manhattan,Private room,20.0,9.57
House On Henry (3rd FLR Suite),Annette,Brooklyn,Entire home/apt,87.5,486.96999999999997
Monkey Retreat Manhattan,Meka,Manhattan,Private room,32.5,40.8
2000 SF 3br 2bath West Village private  townhouse,Ann,Manhattan,Entire home/apt,125.0,25.3
"Williamsburg—Steps To Subway, Private Bath&Balcony",Seth,Brooklyn,Private room,33.666666666666664,1011.7
Beautiful Duplex Apartment,Brenda,Brooklyn,Entire home/apt,7.333333333333333,69.52000000000001
Large 2 Bedroom Great for Groups!,Shelly,Brooklyn,Entire home/apt,1.3888888888888888,236.51999999999998
"Modern Brooklyn Apt., August sublet",Erik,Brooklyn,Entire home/apt,2.6666666666666665,11.600000000000001
"1,800 sq foot in luxury building",Dena,Manhattan,Private room,50.0,273.7
Sunny 2-story Brooklyn townhouse w deck and garden,Jessica,Brooklyn,Entire home/apt,6.666666666666667,3.8000000000000003
"Times Square, Safe, Clean and Cozy!",Luiz,Manhattan,Private room,29.5,1002.0
"Cozy Room #3, Landmark Home 1 Block to PRATT",Erica,Brooklyn,Private room,62.5,3.8000000000000003
Beautiful Apartment East Village,Sally,Manhattan,Entire home/apt,20.0,1.56
Park Slope Green Guest House,Dani,Brooklyn,Entire home/apt,4.0,1970.7399999999998
2 BR / 2 Bath Duplex Apt with patio! East Village,Bruce,Manhattan,Entire home/apt,175.0,0.42
NYC fabulous views Manhattan's eye,Nimo,Manhattan,Entire home/apt,39.8,14.44
2 story family home in Williamsburg,Alexandra,Brooklyn,Entire home/apt,108.33333333333333,975.2399999999999
Comfortable UWS 2-BD Family-Friendly Brownstone,Stacy,Manhattan,Entire home/apt,39.166666666666664,7.290000000000001
Great Large 1 BR apt  in East Village!,Bruce,Manhattan,Entire home/apt,225.0,120.75
Eveland Private Bed & Living Room w/ Own Entrance,Evelyn,Brooklyn,Private room,49.5,1132.8
Sugar Hill Rest Stop ,Emma,Manhattan,Entire home/apt,85.0,395.84999999999997
3 Story Town House in Park Slope,Vero,Brooklyn,Entire home/apt,200.0,3.84
apartment next to Central park,Sylvie,Manhattan,Entire home/apt,24.285714285714285,1.56
East Village Sanctuary,Jen,Manhattan,Entire home/apt,25.0,5.75
Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,Kay,Brooklyn,Private room,37.5,0.72
Modern Apt with Spectacular Views,Jo,Brooklyn,Private room,90.0,0.72
Garden studio in the Upper East Sid,Lisa,Manhattan,Entire home/apt,30.0,3.99
Secluded Master Bedroom in Beautiful Huge Apt,Fernando And Lenin,Manhattan,Private room,5.666666666666667,11.88
B & B Room 1,Angela,Brooklyn,Private room,23.333333333333332,36.54
ACCOMMODATIONS GALORE #1,Laurine,Manhattan,Entire home/apt,40.0,220.1
Sunny Room in New Condo,Chris,Brooklyn,Private room,29.666666666666668,611.0
Stylish & Sleek Apartment Near SoHo!,Uli,Manhattan,Entire home/apt,37.0,48.18
NYC artists’ loft with roof deck,Sol,Brooklyn,Private room,16.666666666666668,358.98
Unique & Charming small 1br Apt. LES,Cs,Manhattan,Entire home/apt,35.0,9.28
Most Central Location!,Lara,Manhattan,Private room,65.0,22.5
Luminous Beautiful West Village Studio,Tom,Manhattan,Entire home/apt,3.9655172413793105,6.5
Sanctuary in East Flatbush,Sunder,Brooklyn,Private room,38.5,0.04
Room with En Suite Bathroom & Deck,Waldemar,Brooklyn,Private room,38.0,1657.14
FLAT MACDONOUGH,Khem,Brooklyn,Entire home/apt,41.666666666666664,474.42999999999995
Huge Private  Floor at The Waverly,Sahr,Brooklyn,Private room,33.75,64.68
"Modern Greenpoint, Brooklyn Apt",Ali+Scott,Brooklyn,Entire home/apt,8.620689655172415,0.09
"Sun-drenched, artsy modernist 1 BDRM duplex",Elisabeth,Brooklyn,Entire home/apt,66.33333333333333,1.0
"Sunny, Cobble Hill Apartment",Sarah,Brooklyn,Entire home/apt,70.0,0.16
Fully Furnished Basement Apartment,Fredah,Queens,Private room,70.0,0.01
FLAT MACDONOUGH GARDEN,Khem,Brooklyn,Entire home/apt,38.333333333333336,213.28
Light filled Williamsburg Apartment,Katherine,Brooklyn,Entire home/apt,53.333333333333336,1.21
Retreat in Williamsburg,Ming,Brooklyn,Entire home/apt,48.75,525.6
NYC Zen,Paula,Manhattan,Entire home/apt,65.0,8.4
Cozy BR in Wiliamsburg 3 Bedroom,Lulú,Brooklyn,Private room,26.666666666666668,372.0
Sunny Room in Old Historical Brooklyn Townhouse,Obed,Brooklyn,Private room,5.5,28.35
Sun Filled Classic West Village Apt,Karen,Manhattan,Private room,39.0,58.46
Lg Rm in Historic Prospect Heights,Michael,Brooklyn,Private room,5.666666666666667,0.8099999999999999
Classic Artist Loft Williamsburg,White,Brooklyn,Private room,41.666666666666664,249.55
Great location. Spacious on PROSPECT PARK,Paz,Brooklyn,Entire home/apt,7.666666666666667,0.2
Private Bdrm/Bathrm. New! Elevator!,Irene,Manhattan,Private room,34.5,10.88
"Sunny, clean 1 bdrm in W. Village",Karene,Manhattan,Entire home/apt,5.0,166.16
Great location in Williamsburg,Viviana,Brooklyn,Entire home/apt,20.833333333333332,6.75
Light and Airy Upper East Side 1 BDR apartment,Sara,Manhattan,Entire home/apt,54.75,146.16
Luxury Brownstone in Boerum Hill,Sarah,Brooklyn,Entire home/apt,158.33333333333334,6.210000000000001
CENTRAL PARK LOFT all for YOU,Marie,Manhattan,Entire home/apt,99.0,608.4
Indie-Chic Share In Williamsburg,Gus,Brooklyn,Private room,17.25,375.72
"A room w/ a Manhattan view, longer stay",Myung,Queens,Private room,2.6333333333333333,7.28
"Private, Large & Sunny 1BR w/W&D",Renée,Brooklyn,Entire home/apt,67.5,883.74
Luxurious Condo in DUBMO with View,Henry,Brooklyn,Private room,83.33333333333333,1.82
Charming & Cozy midtown loft any WEEK ENDS  !!!,Sylvia,Manhattan,Entire home/apt,83.33333333333333,0.32
* Spacious GARDEN Park Slope Duplex* 6 people max,Syl,Brooklyn,Entire home/apt,125.0,173.6
Convenient cozy cheap apt Manhattan,Lorenzo,Manhattan,Entire home/apt,26.666666666666668,0.08
Parlor Room In Victorian Townhouse,Waldemar,Brooklyn,Private room,35.0,1020.1800000000001
House On Henry (2nd FLR Suite),Annette,Brooklyn,Entire home/apt,82.5,210.0
New York room with a view,Newyorkroomwithaview,Staten Island,Private room,35.0,275.56
Sunny cozy room in Brklyn townhouse,Tessa,Brooklyn,Private room,25.0,44.18
Room with a View,Waundell,Bronx,Private room,40.0,446.76
Light+Open+Airy+Rustic+Modern Loft,Young,Brooklyn,Entire home/apt,75.0,343.54
West Inn 2 - East Village,Bruce,Manhattan,Private room,125.0,65.52
Financial District Luxury Loft,Coral,Manhattan,Entire home/apt,65.33333333333333,120.84
BROOKLYN VICTORIAN STYLE SUITE.....,Carol,Brooklyn,Private room,55.0,426.0
Your own Lovely West Village Studio,Sara,Manhattan,Entire home/apt,56.666666666666664,68.8
ACCOMMODATIONS GALORE#3. 1-5 GUESTS,Laurine,Manhattan,Entire home/apt,55.0,60.0
Greenwich Village Stylish Apartment,Myrna,Manhattan,Entire home/apt,5.769230769230769,13.68
Clean and Cozy Harlem Apartment,Campbell,Manhattan,Entire home/apt,50.0,32.22
"Fort Greene, Brooklyn: Center Bedroom",Doug,Brooklyn,Private room,32.5,395.52
Beautiful Queens Brownstone! - 5BR,Mark,Queens,Entire home/apt,43.75,1.1
Couldn't Be Closer To Columbia Uni,Rahul,Manhattan,Private room,24.75,143.95999999999998
Bright Spacious Luxury Condo,Miyoung,Brooklyn,Entire home/apt,50.0,19.139999999999997
Park Slope haven 15 mins from Soho,Monica,Brooklyn,Entire home/apt,30.0,26.0
SAFE  AND BEAUTIFUL ACCOMODATION,Marylyn,Brooklyn,Private room,30.0,147.42
Large Room in private Brownstone in Park Slope,Kathleen R.,Brooklyn,Private room,40.0,24.48
"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",Teresa,Manhattan,Private room,25.0,368.15000000000003
"LARGE, COMFY 1BDR W/CHARACTER!!!",Robert,Brooklyn,Entire home/apt,6.730769230769231,8.7
Chelsea Studio sublet 1 - 2 months,Alex,Manhattan,Entire home/apt,41.666666666666664,0.09
LUX APT IN TIMES SQUARE NEW BUILDING,Claudia,Manhattan,Entire home/apt,275.0,15.58
Designer 1 BR Duplex w/ Terrace- Spectacular Views,Shane,Manhattan,Entire home/apt,149.5,113.36
Lovely Apt & Garden;  Legal;  Best Area; Amenities,Laurie,Brooklyn,Entire home/apt,27.0,215.92999999999998
Lower East Side $57~/night,Erina,Manhattan,Private room,83.0,766.65
Prime Location in Manhattan,Lee,Manhattan,Private room,123.0,1320.0
( F) Excellent/Pvt Rm,Jullett,Queens,Private room,27.5,25.48
"Quiet, sunny Midtown Manhattan apt.",Marlaine,Manhattan,Entire home/apt,39.0,10.1
Big Room/Washer-Dryer/Wifi/AC/JMZ,Charlotte,Brooklyn,Private room,40.0,5.279999999999999
cozy studio with parking spot,Mark,Queens,Entire home/apt,3.2666666666666666,10.23
Clean and convenient 2BR apartment,Mark,Queens,Private room,20.0,0.36
3 floors of luxury!,Mark,Queens,Entire home/apt,37.857142857142854,14.44
The Institute—Heart of Williamsburg,Bob,Brooklyn,Entire home/apt,124.5,1231.52
MIDTOWN WEST - Large alcove studio,Anka,Manhattan,Shared room,17.5,0.8999999999999999
Sml Rm in pr Brst  Park Sl great for Med/students,Kathleen R.,Brooklyn,Private room,50.0,479.12
City Room - Private Penthouse Apt.,Wayne,Manhattan,Entire home/apt,121.0,104.0
Cozy bedroom by Yankee Stadium,Waundell,Bronx,Private room,45.0,200.1
Great apartment with private bathroom and entrance,Jenny,Manhattan,Private room,20.0,391.68
Private Garden Apt • New Renovation,Paul,Brooklyn,Entire home/apt,70.0,769.12
Modern comfort in art infused landmark Brownstone,Tami,Brooklyn,Private room,35.5,5.06
